"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","BCoVConc","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"Madison",2021-02-10,"547274001",37.22,340137,5.881,5.046254,56,"24hr-FWCmp","filtMgCl2",1635,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,354811,28718,NA,"Gene copies/L",66000,140000,"N",3,NA,325463,22644,"No","Gene copies/L","qPCR",7.76,35370490,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44237","355660",339820.3,2
"Madison",2021-02-11,"547274002",36.77,331952,8.024,5.046254,56,"24hr-FWCmp","filtMgCl2",1705,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,388671,25836,NA,"Gene copies/L",66000,140000,"N",3,NA,275233,23195,"No","Gene copies/L","qPCR",7.65,33689951,380000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",327070.5,2
"MMSD-P2",2021-02-11,"547277001",5.87,296414,3.72,5.046,56,"24hr-FWCmp","filtMgCl2",1399,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,340779,54406,NA,"Gene copies/L",66000,140000,"N",3,NA,252049,18684,"No","Gene copies/L","qPCR",7,40186834,380000,"IDT","DNA-plasm",NA,"upstream","P2-Central","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",293075.1,2
"MMSD-P7",2021-02-11,"547279001",3.45,183652,3.56,5.046,56,"24hr-FWCmp","filtMgCl2",1645,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,226876,25356,NA,"Gene copies/L",66000,140000,"N",3,NA,140429,25561,"No","Gene copies/L","qPCR",7,54222724,380000,"IDT","DNA-plasm",NA,"upstream","P7-Southeast","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",178493.6,2
"MMSD-P8",2021-02-11,"547281001",6.53,116617,5.06,5.046,56,"24hr-FWCmp","filtMgCl2",1499,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,117618,15386,NA,"Gene copies/L",66000,140000,"N",3,NA,115617,11795,"No","Gene copies/L","qPCR",7,24781056,380000,"IDT","DNA-plasm",NA,"upstream","P8-West","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",116613.2,2
"MMSD-P11",2021-02-11,"547282001",8.57,163700,1.78,5.046,56,"24hr-FWCmp","filtMgCl2",1486,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,183774,8208,NA,"Gene copies/L",66000,140000,"N",3,NA,143625,12396,"No","Gene copies/L","qPCR",7,31819007,380000,"IDT","DNA-plasm",NA,"upstream","P11-Southwest","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",162464,2
"MMSD-P18",2021-02-11,"547284001",12.35,122396,0.51,5.046,56,"24hr-FWCmp","filtMgCl2",1453,"Dane",NA,"WI0024597",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,130403,24482,NA,"Gene copies/L",66000,140000,"N",3,NA,114390,5559,"No","Gene copies/L","qPCR",7,16786232,380000,"IDT","DNA-plasm",NA,"upstream","P18-Norhteast","Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,"44238","355660",122134.3,2
"La Crosse",2021-02-11,"547391001",10.94,137759,2.21,5.046254,20,"24hr-FWCmp","filtMgCl2",1397,"La Crosse",NA,"WI0029581",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,151533,17103,NA,"Gene copies/L",66000,140000,"N",3,NA,123984,5866,"No","Gene copies/L","qPCR",7.45,13231545,85000,"IDT","DNA-plasm","0.3347222222222222","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"SAMPLE RECEIVED PARTIALLY FROZEN. RESULTS APPROXIMATE. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54601",NA,"44238","355660",137068.1,2
"Manitowoc",2021-02-11,"547392001",6.443,68821,9.36,5.046254,15.5,"24hr-FWCmp","filtMgCl2",860,"Manitowoc",NA,"WI0024601",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,96135,11145,NA,"Gene copies/L",66000,140000,"N",3,NA,41506,14489,"Yes","Gene copies/L","qPCR",7.5,7612508,34450,"IDT","DNA-plasm","0.5","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7.8,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,"44238","355660",63167.87,2
"Spring UW-Sellery",2021-02-12,"547397001",NA,245298,3.709,5.046,NA,NA,"filtMgCl2",946.4,NA,NA,NA,1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,268867,28839,NA,"Gene copies/L",66000,140000,"N",3,NA,221730,9190,"No","Gene copies/L","qPCR",7.5,10040367,NA,"IDT","DNA-plasm","0.33333333333333331",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,158,"Sample received below 2 degrees C Sample received below 2 degrees C Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.",NA,NA,"44239","355590",244163.6,2
"Spring UW-LakeShore",2021-02-12,"547398001",NA,582351,0.05,5.04625,NA,NA,"filtMgCl2",1677,NA,NA,NA,0.125,"PromegaHT","No","No","BRSV-RNA","Klymus19",320000,1e+06,"N",3,NA,588119,125897,NA,"Gene copies/L",520000,1100000,"N",3,NA,576582,36352,"No","Gene copies/L","qPCR",7,117216824,NA,"IDT","DNA-plasm","0.33333333333333331",NA,NA,"Influent (Untreated Waste H2O)",NA,NA,NA,NA,705,NA,NA,NA,"44239","355590",582321.9,2
"Kenosha",2021-02-11,"547558001",17.37,91805,4.2182,5.046254,28,"24hr-FWCmp","filtMgCl2",1305,"Kenosha",NA,"WI0028703",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,101893,8204,NA,"Gene copies/L",66000,140000,"N",3,NA,81718,3359,"No","Gene copies/L","qPCR",7.6,14767261,122000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44238","355660",91249.61,2
"Kenosha",2021-02-12,"547558002",17.57,185495,4.0587,5.046254,28,"24hr-FWCmp","filtMgCl2",1248,"Kenosha",NA,"WI0028703",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,216454,14027,NA,"Gene copies/L",66000,140000,"N",3,NA,154536,13132,"No","Gene copies/L","qPCR",7.5,17758694,122000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44239","355660",182893.2,2
"Kenosha",2021-02-13,"547558003",17.92,133277,4.5489,5.046254,28,"24hr-FWCmp","filtMgCl2",1316,"Kenosha",NA,"WI0028703",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,156407,6575,NA,"Gene copies/L",66000,140000,"N",3,NA,110148,10310,"No","Gene copies/L","qPCR",7.5,14709923,122000,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,"44240","355660",131255.2,2
"Platteville",2021-02-11,"547559001",0.925,336073,1.3277,5.046254,3,"24hr-FWCmp","filtMgCl2",1848,"Grant","4.4800000000000004","WI0020435",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,404171,33761,NA,"Gene copies/L",66000,140000,"N",3,NA,267974,20139,"No","Gene copies/L","qPCR",7.86,13109387,14000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13.13,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44238","355660",329100.8,2
"Platteville",2021-02-12,"547559002",0.946,136102,1.9293,5.046254,3,"24hr-FWCmp","filtMgCl2",1390,"Grant","4.5199999999999996","WI0020435",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,165558,17092,NA,"Gene copies/L",66000,140000,"N",3,NA,106646,8446,"No","Gene copies/L","qPCR",7.75,13154329,14000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.24,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44239","355660",132876.3,2
"Platteville",2021-02-13,"547559003",0.953,815418,5.8893,5.046254,3,"24hr-FWCmp","filtMgCl2",1637,"Grant","4.5599999999999996","WI0020435",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,909120,61080,NA,"Gene copies/L",66000,140000,"N",3,NA,721716,47365,"No","Gene copies/L","qPCR",7.84,21302922,14000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.23,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,"44240","355660",810016.3,2
"Hudson",2021-02-11,"547562001",1.399,126949,1.3232,5.046254,2.2,"24hr-FWCmp","filtMgCl2",1095,"Saint Croix","8.34","WI0024279",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,142516,18950,NA,"Gene copies/L",66000,140000,"N",3,NA,111383,18430,"No","Gene copies/L","qPCR",7.75,10716952,19680,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.39,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44238","355660",125991.5,2
"Hudson",2021-02-12,"547562002",1.414,95020,1.4616,5.046254,2.2,"24hr-FWCmp","filtMgCl2",1030,"Saint Croix","6.04","WI0024279",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,104534,9431,NA,"Gene copies/L",66000,140000,"N",3,NA,85507,6508,"No","Gene copies/L","qPCR",7.56,9728432,19680,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.33,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44239","355660",94543.05,2
"Hudson",2021-02-13,"547562003",1.407,66048,0.5521,5.046254,2.2,"24hr-FWCmp","filtMgCl2",1309,"Saint Croix","7.34","WI0024279",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,80187,12637,NA,"Gene copies/L",66000,140000,"N",3,NA,51908,7610,"Yes","Gene copies/L","qPCR",7.61,11781949,19680,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.16,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,"44240","355660",64516.25,2
"Eau Claire",2021-02-12,"547572001",7.38,124243,8.905658,5.046,12,"24hr-FWCmp","filtMgCl2",1060,"Eau Claire","5.89","WI0023850",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,140229,20502,NA,"Gene copies/L",66000,140000,"N",3,NA,108256,32797,"No","Gene copies/L","qPCR",7.69,11696792,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.9,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54703",NA,"44239","355660",123209.7,2
"Peshtigo",2021-02-15,"547573001",0.42,52484,6.798483,5.046,4.2,"24hr-FWCmp","filtMgCl2",779,"Marinette","5.9","WI0030651",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,62307,12135,NA,"Gene copies/L",66000,140000,"N",3,NA,42661,3398,"No","Gene copies/L","qPCR",7.7,3608971,4000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",9.9,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54157",NA,"44242","355660",51556.56,2
"Plymouth",2021-02-11,"547578001",1.55,90135,1.563,5.046,1.8,"24hr-FWCmp","filtMgCl2",1400,"Sheboygan",NA,"WI0030031",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,123908,14379,NA,"Gene copies/L",66000,140000,"N",3,NA,56363,11690,"Yes","Gene copies/L","qPCR",8,8802268,9000,"IDT","DNA-plasm","0.32291666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"LAB EXTRAPOLATED SAMPLE START TIME. (END TIME-24 HRS) LAB EXTRAPOLATED SAMPLE START TIME. (END TIME-24 HRS) Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44238","355660",83569.29,2
"Plymouth",2021-02-12,"547578002",1.57,22789,0.521,5.046,1.8,"24hr-FWCmp","filtMgCl2",1586,"Sheboygan",NA,"WI0030031",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,29445,6588,NA,"Gene copies/L",66000,140000,"N",3,NA,16134,3446,"Yes","Gene copies/L","qPCR",8.1,8665028,9000,"IDT","DNA-plasm","0.34791666666666665","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44239","355660",21796,2
"Plymouth",2021-02-13,"547578003",1.54,15011,0.553,5.046,1.8,"24hr-FWCmp","filtMgCl2",1709,"Sheboygan",NA,"WI0030031",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,19454,7221,NA,"Gene copies/L",66000,140000,"N",3,NA,10568,4476,"Yes","Gene copies/L","qPCR",8.2,16676565,9000,"IDT","DNA-plasm","0.31319444444444444","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,"44240","355660",14338.41,2
"Merrill",2021-02-11,"547581001",1.046,93781,1.97,5.046254,3.06,"24hr-FWCmp","filtMgCl2",771,"Lincoln",NA,"WI0020150",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,114221,16405,NA,"Gene copies/L",66000,140000,"N",3,NA,73341,8238,"No","Gene copies/L","qPCR",7.55,8875221,10000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44238","355660",91526.4,2
"Merrill",2021-02-12,"547581002",1.035,181172,3.13,5.046254,3.06,"24hr-FWCmp","filtMgCl2",616.2,"Lincoln",NA,"WI0020150",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,215295,21499,NA,"Gene copies/L",66000,140000,"N",3,NA,147050,17707,"No","Gene copies/L","qPCR",7.66,14814345,10000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44239","355660",177930.1,2
"Merrill",2021-02-13,"547581003",1.057,45549,2.8,5.046254,3.06,"24hr-FWCmp","filtMgCl2",674.7,"Lincoln",NA,"WI0020150",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,55448,10709,NA,"Gene copies/L",66000,140000,"N",3,NA,35651,4703,"Yes","Gene copies/L","qPCR",7.7,12401154,10000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,"44240","355660",44460.96,2
"Janesville",2021-02-13,"547585001",11.59,207911,11.56,5.046,16.1,"24hr-FWCmp","filtMgCl2",1615,"Rock",NA,"WI0030350",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,190116,-1,NA,"Gene copies/L",66000,140000,"N",3,NA,225705,-1,"No","Gene copies/L","qPCR",7.74,11354509,63500,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53548",NA,"44240","355660",207147.6,2
"Sheboygan",2021-02-13,"547586001",8.38,NA,9.83,5.046,18.4,"24hr-FWCmp","filtMgCl2",811,"Sheboygan",NA,"WI0025411",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,NA,-1,NA,"Gene copies/L",66000,140000,"N",3,NA,NA,-1,"Yes","Gene copies/L","qPCR",7.9,27002857,75000,"IDT","DNA-plasm","0.25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.7,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,"44240","355660",NA,0
"Wausau",2021-02-11,"547591001",3.55,76710,0.4071079,5.046,8.2,"24hr-FWCmp","filtMgCl2",839.5,"Marathon",NA,"WI0025739",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,103640,20033,NA,"Gene copies/L",66000,140000,"N",3,NA,49780,8933,"No","Gene copies/L","qPCR",7.5,52182442,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44238","355660",71827.57,2
"Wausau",2021-02-12,"547591002",3.6,33631,0.3481427,5.046,8.2,"24hr-FWCmp","filtMgCl2",1039,"Marathon",NA,"WI0025739",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,47083,8113,NA,"Gene copies/L",66000,140000,"N",3,NA,20179,4624,"Yes","Gene copies/L","qPCR",7.5,30508461,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44239","355660",30823.5,2
"Wausau",2021-02-13,"547591003",3.53,60680,0.75837,5.046,8.2,"24hr-FWCmp","filtMgCl2",907.4,"Marathon",NA,"WI0025739",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,80863,8202,NA,"Gene copies/L",66000,140000,"N",3,NA,40497,2826,"Yes","Gene copies/L","qPCR",7.5,43792845,42000,"IDT","DNA-plasm","0.33333333333333331","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,"44240","355660",57225.07,2
"Oshkosh",2021-02-11,"547592001",7.904,66275,2.15,5.046254,20,"24hr-FWCmp","filtMgCl2",946,"Winnebago",NA,"WI0025038",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,76622,3801,NA,"Gene copies/L",66000,140000,"N",3,NA,55928,6147,"Yes","Gene copies/L","qPCR",7.65,33993916,67000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,"44238","355660",65462.32,2
"Oshkosh",2021-02-12,"547592002",7.939,133704,2.39,5.046254,20,"24hr-FWCmp","filtMgCl2",964,"Winnebago",NA,"WI0025038",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,152866,20801,NA,"Gene copies/L",66000,140000,"N",3,NA,114542,18949,"No","Gene copies/L","qPCR",7.91,24461922,67000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,"44239","355660",132323.8,2
"Oshkosh",2021-02-13,"547592003",5.9,89768,2.42,5.046254,20,"24hr-FWCmp","filtMgCl2",987,"Winnebago",NA,"WI0025038",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,104158,8772,NA,"Gene copies/L",66000,140000,"N",3,NA,75379,7028,"No","Gene copies/L","qPCR",7.9,33083954,67000,"IDT","DNA-plasm","0.29166666666666669","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,"44240","355660",88607.71,2
"Appleton",2021-02-12,"547598001",8.3,153981,3.43,5.046254,15.5,"24hr-FWCmp","filtMgCl2",884,"Outagamie",NA,"WI0023221",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,173372,24905,NA,"Gene copies/L",66000,140000,"N",3,NA,134589,23102,"No","Gene copies/L","qPCR",7.9,31723557,74832,"IDT","DNA-plasm",NA,"influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13.6,NA,NA,NA,"54914",NA,"44239","355660",152754.6,2
"Menomonie",2021-02-13,"547600001",1.368,69489,1.97,5.046254,2.88,"24hr-FWCmp","filtMgCl2",1089,"Dunn",NA,"WI0024708",0.625,"PromegaHT","No","No","BRSV-RNA","Klymus19",64000,2e+05,"N",3,NA,70748,11519,NA,"Gene copies/L",1e+05,220000,"N",3,NA,68229,10626,"Yes","Gene copies/L","qPCR",8.3,9463075,16000,"IDT","DNA-plasm","0.30555555555555552","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,NA,NA,NA,"54751",NA,"44240","355660",69477.08,2
"Sun Prairie",2021-02-11,"547604001",3.246,145105,1.460815,5.046,6.2,"24hr-FWCmp","filtMgCl2",1181,"Dane",NA,"WI0020478",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,168347,11065,NA,"Gene copies/L",66000,140000,"N",3,NA,121862,11970,"No","Gene copies/L","qPCR",7.4,35578612,34926,"IDT","DNA-plasm","0.27916666666666667","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.32,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,"44238","355660",143230.9,2
"Sun Prairie",2021-02-12,"547604002",3.281,96366,1.192338,5.046,6.2,"24hr-FWCmp","filtMgCl2",1208,"Dane",NA,"WI0020478",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,115744,27204,NA,"Gene copies/L",66000,140000,"N",3,NA,76988,13131,"Yes","Gene copies/L","qPCR",7.4,23928756,34926,"IDT","DNA-plasm","0.28194444444444444","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.4,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,"44239","355660",94397.56,2
"Sun Prairie",2021-02-13,"547604003",3.207,60949,0.5652915,5.046,6.2,"24hr-FWCmp","filtMgCl2",898.8,"Dane",NA,"WI0020478",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,73682,13111,NA,"Gene copies/L",66000,140000,"N",3,NA,48215,6158,"Yes","Gene copies/L","qPCR",7.4,26377070,34926,"IDT","DNA-plasm","0.2951388888888889","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.9,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,"44240","355660",59603.5,2
"River Falls",2021-02-11,"547605001",1.343,119187,3.745634,5.046,1.8,"24hr-FWCmp","filtMgCl2",795.4,"Pierce","5.21","WI0029394",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,144779,17373,NA,"Gene copies/L",66000,140000,"N",3,NA,93595,6080,"No","Gene copies/L","qPCR",7.41,18078892,16000,"IDT","DNA-plasm","0.31944444444444448","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.4,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,"44238","355660",116407,2
"River Falls",2021-02-12,"547605002",1.308,178673,4.551719,5.046,1.8,"24hr-FWCmp","filtMgCl2",810.7,"Pierce","5.08","WI0029394",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,209685,9318,NA,"Gene copies/L",66000,140000,"N",3,NA,147660,4517,"No","Gene copies/L","qPCR",7.53,17263442,16000,"IDT","DNA-plasm","0.31597222222222221","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,"44239","355660",175960.5,2
"River Falls",2021-02-13,"547605003",1.295,127702,3.868752,5.046,1.8,"24hr-FWCmp","filtMgCl2",740,"Pierce","3.97","WI0029394",1,"PromegaHT","No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,145150,18026,NA,"Gene copies/L",66000,140000,"N",3,NA,110254,12949,"No","Gene copies/L","qPCR",7.3,31536944,16000,"IDT","DNA-plasm","0.31597222222222221","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",7,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,"44240","355660",126504.4,2
