"Site","epaid","Pop","sample_id","repName","n1_sars_cov2_units","N1","N1LOD","n2_sars_cov2_units","N2","N2LOD","PMMoV","hf183_conc","Date","sample_collect_time","test_result_date","FlowRate","tss","ph","bod","conductivity","temperature","do","created_on","last_modified_on","lab_submitter","n1_lod","n1_loq","n2_lod","n2_loq"
"Grafton Water & Wastewater Utility","WI0020184",11400,"676","droplet digital PCR","copies/L wastewater",4131.573333,FALSE,"copies/L wastewater",4131.573333,FALSE,9153045.547,"1757198273",2020-12-14,"7:20","12/17/2020",1.677,"132","7.7","186","1975","14.1",NA,"12/18/2020 13:26","1/7/2022 13:57","UWM","3095.179","10321.931","3095.179","10321.931"
"Mauston WWTF","WI0024635",4500,"529902001","qPCR","Gene copies/L",24000,FALSE,"Gene copies/L",37000,FALSE,4905445,NA,2020-10-06,"8:00","1/8/2021 12:36",0.412,NA,"7.5",NA,"1043",NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Kenosha WWTF","WI0028703",122000,"529905001","qPCR","Gene copies/L",23000,FALSE,"Gene copies/L",35000,FALSE,15640087,NA,2020-10-06,"0:00","1/8/2021 12:36",18.11,NA,"7.6",NA,"1120",NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Waukesha WWTP","WI0029971",72549,"649","droplet digital PCR","copies/L wastewater",33031.57867,FALSE,"copies/L wastewater",10251.904,FALSE,30395074.67,"447954953.6",2020-12-07,"8:00","12/18/2020",6.93,"504","7.6","333","2490","4",NA,"12/18/2020 13:26","1/7/2022 13:57","UWM","3865.472","12877.904","3865.472","12877.904"
"Waukesha WWTP","WI0029971",72549,"650","droplet digital PCR","copies/L wastewater",36665.96267,FALSE,"copies/L wastewater",18318.976,FALSE,2339002.709,"653605778",2020-12-08,"8:00","12/17/2020",6.94,"559",NA,"439","2310","4",NA,"12/18/2020 13:26","1/7/2022 13:57","UWM","3053.163","10181.877","3053.163","10181.877"
"Waukesha WWTP","WI0029971",72549,"680","droplet digital PCR","copies/L wastewater",7240.757333,FALSE,"copies/L wastewater",4831.84,FALSE,6628024,"285089021.7",2020-12-13,"8:00","12/17/2020",7.99,"331",NA,"219","2330","4",NA,"12/18/2020 13:26","1/7/2022 13:57","UWM","3627.381","12072.597","3627.381","12072.597"
"Platteville WWTF","WI0020435",14000,"527546001","qPCR","Gene copies/L",41943,FALSE,"Gene copies/L",10382,TRUE,4415408,NA,2020-09-23,"7:45","10/2/2020 12:30",1.23,NA,"7.8",NA,NA,"13.17","1.66","1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"La Crosse WWTP","WI0029581",85000,"527770001","qPCR","Gene copies/L",25761,FALSE,"Gene copies/L",2155,TRUE,13295911,NA,2020-09-24,"7:32","10/2/2020 12:30",10.26,NA,"7.3",NA,NA,"9.9","3","1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Waukesha WWTP","WI0029971",72549,"474","droplet digital PCR","copies/L wastewater",14481.51467,FALSE,"copies/L wastewater",10335.936,FALSE,29216525.87,"166258108.5",2020-10-25,"8:00","10/29/2020",7.899,"506","7.5","288","2280","4",NA,"12/4/2020 17:38","1/7/2022 13:57","UWM","3095.179","10335.936","5167.968","9299.541"
"Waukesha WWTP","WI0029971",72549,"475","droplet digital PCR","copies/L wastewater",11862.51733,FALSE,"copies/L wastewater",1317.901867,TRUE,14285159.89,"503435910.1",2020-10-26,"8:00","10/29/2020",7.668,"393","7.4","242","2330","4",NA,"12/4/2020 17:38","1/7/2022 13:57","UWM","3949.504","13193.024","6596.512","11862.517"
"Waukesha WWTP","WI0029971",72549,"503","droplet digital PCR","copies/L wastewater",37422.25067,FALSE,"copies/L wastewater",10111.85067,FALSE,25823873.92,"230809118.1",2020-11-01,"8:00","11/5/2020",7.321,"557","7.6","370","2380","4",NA,"12/4/2020 17:38","1/7/2022 13:57","UWM","3025.152","10111.851","5055.925","9089.461"
"Waukesha WWTP","WI0029971",72549,"504","droplet digital PCR","copies/L wastewater",71000.03733,FALSE,"copies/L wastewater",24215.22133,FALSE,33421487.15,"522843692.9",2020-11-02,"8:00","12/7/2020",7.19,"248","7.4","67","2210","4",NA,"12/4/2020 17:38","1/7/2022 13:57","UWM","3095.179","10307.925","3991.52","9859.755"
"Waukesha WWTP","WI0029971",72549,"559","droplet digital PCR","copies/L wastewater",26512.096,FALSE,"copies/L wastewater",7856.992,FALSE,12776645.44,"157715496.6",2020-11-15,"8:00","11/19/2020",7.097,"680","7.6","354","2390","4",NA,"12/4/2020 17:38","1/7/2022 13:57","UWM","2941.12","9817.739","4901.867","8837.365"
"Marshfield WWTF","WI0021024",19316,"541716001","qPCR","Gene copies/L",7516,TRUE,"Gene copies/L",1190,TRUE,7058730.71,NA,2020-12-29,"7:55","1/19/2021 8:23",2.063,NA,"6.9",NA,"1457","6.9","5.8","1/19/2021 16:46","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Marshfield WWTF","WI0021024",19316,"542318001","qPCR","Gene copies/L",5488,TRUE,"Gene copies/L",698,TRUE,13546711.54,NA,2021-01-05,"7:50","1/19/2021 8:23",2.035,NA,"6.9",NA,"1757","13.9","6.3","1/19/2021 16:46","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Waukesha WWTP","WI0029971",72549,"681","droplet digital PCR","copies/L wastewater",24845.46133,FALSE,"copies/L wastewater",6204.362667,FALSE,13018517.55,"379458053.7",2020-12-14,"8:00","12/17/2020",7.691,"385",NA,"286","2420","4",NA,"12/18/2020 13:26","1/7/2022 13:57","UWM","3109.184","10349.941","3109.184","10349.941"
"Manitowoc WWTF","WI0024601",34450,"527775001","qPCR","Gene copies/L",19093,TRUE,"Gene copies/L",14584,TRUE,6983881,NA,2020-09-24,"12:00","10/2/2020 12:30",9.29,NA,"7.8",NA,NA,"8.7",NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Madison","WI0024597",380000,"527807001","qPCR","Gene copies/L",28553,FALSE,"Gene copies/L",1210,TRUE,26700211,NA,2020-09-25,"0:00","10/2/2020 12:30",41.07,NA,"7.74",NA,NA,NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Madison","WI0024597",380000,"527808001","qPCR","Gene copies/L",16743,TRUE,"Gene copies/L",4437,TRUE,21097519,NA,2020-09-24,"0:00","10/2/2020 12:30",41.47,NA,"7.71",NA,NA,NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"MMSD-P2","WI0024597",380000,"544998001","qPCR","Gene copies/L",62166,FALSE,"Gene copies/L",94675,FALSE,35099462,NA,2021-01-25,"0:00","1/27/2021 10:00",5.74,NA,"7.5",NA,"1448",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Fox River WPCC","WI0023469",51000,"702","droplet digital PCR","copies/L wastewater",22814.688,FALSE,"copies/L wastewater",8053.066667,FALSE,24556111.15,"809988982.2",2020-12-20,"7:15","1/4/2021",8.15,"290","7.7","375","2550","7.9",NA,"12/28/2020 20:30","1/17/2022 11:01","UWM","4019.531","13417.109","4019.531","13417.109"
"Madison","WI0024597",380000,"527809001","qPCR","Gene copies/L",30509,FALSE,"Gene copies/L",7419,TRUE,21980553,NA,2020-09-23,"0:00","10/2/2020 12:30",41.65,NA,"7.6",NA,NA,NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Madison","WI0024597",380000,"527915001","qPCR","Gene copies/L",22794,FALSE,"Gene copies/L",2281,TRUE,40392929.84,NA,2020-09-28,"0:00","9/30/2020 19:25",40.95,NA,"7.67",NA,NA,"18.8",NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Eau Claire WWTF","WI0023850",75000,"528104001","qPCR","Gene copies/L",102011,FALSE,"Gene copies/L",18006,TRUE,20923962.7,NA,2020-09-25,"6:00","9/30/2020 19:25",7.72,NA,"7.16",NA,"1143","22.2","3.39","1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Fox River WPCC","WI0023469",51000,"703","droplet digital PCR","copies/L wastewater",45685.39733,FALSE,"copies/L wastewater",24677.39733,FALSE,19204953.39,"3189348134",2020-12-21,"7:10","12/28/2020",8.19,"168","7.6","196","2590","9.3",NA,"12/28/2020 20:30","1/17/2022 11:01","UWM","3697.408","12338.699","3697.408","12338.699"
"Burlington WPCC","WI0022926",13000,"701","droplet digital PCR","copies/L wastewater",13669.20533,FALSE,"copies/L wastewater",13669.20533,FALSE,8899549.013,"485004956.8",2020-12-21,"6:35","12/28/2020",2.8,"427","7.6","241","2060","8.2",NA,"12/28/2020 20:30","1/7/2022 13:54","UWM","3151.2","10504","3151.2","10504"
"Cedarburg WWTF","WI0020222",12000,"705","droplet digital PCR","copies/L wastewater",2226.848,TRUE,"copies/L wastewater",2226.848,TRUE,7188237.333,"1387605500",2020-12-21,"6:56","12/28/2020",1.893,"162","7.8",NA,"2130","12.2",NA,"12/28/2020 20:30","1/7/2022 13:55","UWM","3347.275","11162.251","3347.275","11162.251"
"Janesville WW Utility","WI0030350",63500,"528105001","qPCR","Gene copies/L",52609,FALSE,"Gene copies/L",40209,FALSE,7049296.304,NA,2020-09-26,"7:10","9/30/2020 19:25",11.11,NA,"7.72",NA,NA,"3.5",NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Appleton WWTF","WI0023221",74832,"529907001","qPCR","Gene copies/L",NA,TRUE,"Gene copies/L",NA,TRUE,3516870,NA,2020-10-06,"0:00","1/8/2021 12:36",8.2,NA,"7.98",NA,"1560","2",NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"De Pere WWTF","WI0065251",43000,"696","droplet digital PCR","copies/L wastewater",16568.30933,FALSE,"copies/L wastewater",12422.73067,FALSE,11254825.92,"920496840.8",2020-12-21,"7:00","12/28/2020",6.34,"416","7.4","410","1465",NA,NA,"12/28/2020 20:30","1/7/2022 13:55","UWM","3109.184","10349.941","3109.184","10349.941"
"Green Bay MSD","WI0065251",189000,"686","droplet digital PCR","copies/L wastewater",25489.70667,FALSE,"copies/L wastewater",20629.856,FALSE,15502083.31,"393736514.6",2020-12-16,"6:00","12/28/2020",24.35,"208","7.6","220","2150",NA,NA,"12/28/2020 20:30","1/7/2022 13:55","UWM","3641.387","12128.619","3641.387","12128.619"
"Green Bay MSD","WI0065251",189000,"697","droplet digital PCR","copies/L wastewater",12548.77867,FALSE,"copies/L wastewater",14831.648,FALSE,26348233.6,"627331032.8",2020-12-20,"6:00","12/28/2020",22.1,"196","7.6","180","1777",NA,NA,"12/28/2020 20:30","1/7/2022 13:55","UWM","3417.301","11400.341","3417.301","11400.341"
"Wisconsin Rapids WWTF","WI0025844",20000,"531907001","qPCR","Gene copies/L",67704,FALSE,"Gene copies/L",29501,TRUE,17308419.62,NA,2020-10-16,"8:00","10/21/2020 7:20",2.739,NA,"6.8",NA,"1150",NA,NA,"1/15/2021 12:15","12/6/2021 22:59","SLH","20000","64000","33000","68000"
"Columbus WWTF","WI0021008",7000,"532225001","qPCR","Gene copies/L",83122,FALSE,"Gene copies/L",59862,FALSE,5226524,NA,2020-10-20,"8:30","10/26/2020 14:14",0.722,NA,"7.5",NA,"1468","16.3","0.59","1/15/2021 12:15","11/24/2021 22:59","SLH","20000","64000","33000","68000"
"Green Bay MSD","WI0065251",189000,"698","droplet digital PCR","copies/L wastewater",23388.90667,FALSE,"copies/L wastewater",23388.90667,FALSE,27410117.97,"705069255.7",2020-12-21,"6:00","12/28/2020",24.1,"236","7.6","260","1918",NA,NA,"12/28/2020 20:30","1/7/2022 13:55","UWM","3053.163","10167.872","3053.163","10167.872"
"Milwaukee MSD Jones Island","WI0036820",470007,"689","droplet digital PCR","copies/L wastewater",2254.858667,TRUE,"copies/L wastewater",4523.722667,FALSE,5203121.387,"475407432",2020-12-22,"0:00","12/28/2020",63,"190",NA,"220","1491",NA,NA,"12/28/2020 20:30","1/7/2022 13:56","UWM","3389.291","11316.309","3389.291","11316.309"
"Milwaukee MSD Jones Island","WI0036820",470007,"691","droplet digital PCR","copies/L wastewater",37716.36267,FALSE,"copies/L wastewater",31820.11733,FALSE,22750263.47,"1065802548",2020-12-23,"0:00","12/28/2020",86,"190",NA,"240","1333",NA,NA,"12/28/2020 20:30","1/7/2022 13:56","UWM","3529.344","11778.485","3529.344","11778.485"
"Algoma WWTF","WI0020745",3171,"532236001","qPCR","Gene copies/L",40090,FALSE,"Gene copies/L",22193,TRUE,11431156.52,NA,2020-10-20,"7:30","10/26/2020 14:14",0.402,NA,"7.8",NA,"1181","14.1","10.12","1/15/2021 12:15","11/24/2021 22:59","SLH","20000","64000","33000","68000"
"Kenosha WWTF","WI0028703",122000,"532246001","qPCR","Gene copies/L",122355,FALSE,"Gene copies/L",86871,FALSE,12348457,NA,2020-10-20,"0:00","10/26/2020 14:14",16.25,NA,"7.6",NA,"1155",NA,NA,"1/15/2021 12:15","11/24/2021 22:59","SLH","20000","64000","33000","68000"
"Milwaukee MSD South Shore","WI0036820",615934,"690","droplet digital PCR","copies/L wastewater",11680.448,FALSE,"copies/L wastewater",11680.448,FALSE,8669861.547,"474659386.8",2020-12-22,"0:00","12/28/2020",60,"130",NA,"210","1564",NA,NA,"12/28/2020 20:30","1/7/2022 13:56","UWM","3501.333","11680.448","3501.333","11680.448"
"Milwaukee MSD South Shore","WI0036820",615934,"692","droplet digital PCR","copies/L wastewater",36623.94667,FALSE,"copies/L wastewater",26624.13867,FALSE,18083546.35,"933457481",2020-12-23,"0:00","12/28/2020",61,"140",NA,"170","1580",NA,NA,"12/28/2020 20:30","1/7/2022 13:56","UWM","3319.264","11092.224","3319.264","11092.224"
"Port Washington WWTP","WI0020460",12000,"706","droplet digital PCR","copies/L wastewater",13347.08267,FALSE,"copies/L wastewater",4929.877333,FALSE,15010776.21,"1278692806",2020-12-21,"7:15","12/28/2020",1.141,NA,NA,NA,"1956",NA,NA,"12/28/2020 20:30","1/7/2022 13:56","UWM","3697.408","12310.688","3697.408","12310.688"
"Sun Prairie WWTF","WI0020478",34926,"531909001","qPCR","Gene copies/L",133838,FALSE,"Gene copies/L",148617,FALSE,21245383.19,NA,2020-10-20,"6:38","10/21/2020 7:20",3.394,NA,"7.4",NA,"2000","17.4",NA,"1/15/2021 12:15","12/6/2021 22:59","SLH","20000","64000","33000","68000"
"Appleton WWTF","WI0023221",74832,"531919001","qPCR","Gene copies/L",189156,FALSE,"Gene copies/L",21980,TRUE,31566014.66,NA,2020-10-19,"0:00","10/21/2020 7:20",7.7,NA,"8",NA,"1400",NA,NA,"1/15/2021 12:15","12/6/2021 22:59","SLH","20000","64000","33000","68000"
"Racine Wastewater Utility","WI0025194",139000,"694","droplet digital PCR","copies/L wastewater",27023.29067,FALSE,"copies/L wastewater",7422.826667,FALSE,42479506.51,"519485154.8",2020-12-20,"0:00","12/28/2020",16.96,"105","7.13","141","1065","13.7",NA,"12/28/2020 20:30","1/7/2022 13:57","UWM","3648.389","12163.632","3648.389","12163.632"
"Racine Wastewater Utility","WI0025194",139000,"695","droplet digital PCR","copies/L wastewater",36932.064,FALSE,"copies/L wastewater",13179.01867,FALSE,31140858.67,"856610060.6",2020-12-21,"0:00","12/28/2020",17.17,"111","7.49","129","1077","13.9",NA,"12/28/2020 20:30","1/7/2022 13:57","UWM","3949.504","13179.019","3949.504","13179.019"
"South Milwaukee WWTF","WI0028819",21156,"687","droplet digital PCR","copies/L wastewater",10742.09067,FALSE,"copies/L wastewater",8361.184,FALSE,3496711.573,"572916651.4",2020-12-20,"7:00","12/28/2020",2.827,"192",NA,"158","1088",NA,NA,"12/28/2020 20:30","1/7/2022 13:57","UWM","3585.365","11946.549","3585.365","11946.549"
"Waupaca WWTF","WI0030490",10000,"529908001","qPCR","Gene copies/L",74000,FALSE,"Gene copies/L",99000,FALSE,5969690,NA,2020-10-06,"7:56","1/8/2021 12:36",0.9974,NA,"7.4",NA,"2010",NA,NA,"1/15/2021 12:15","2/15/2021 15:41","SLH","20000","64000","33000","68000"
"Janesville WW Utility","WI0030350",63500,"529909001","qPCR","Gene copies/L",260000,FALSE,"Gene copies/L",340000,FALSE,4648113,NA,2020-10-06,"7:00","1/8/2021 12:36",10.09,NA,"7.58",NA,"1835","1.9",NA,"1/15/2021 12:15","1/4/2022 23:04","SLH","20000","64000","33000","68000"
"Milwaukee MSD South Shore","WI0036820",615934,"815","droplet digital PCR","copies/L wastewater",9383.573333,FALSE,"copies/L wastewater",12520.768,FALSE,11887446.83,NA,2021-01-24,"0:00","1/28/2021",59,"240",NA,"470","1776",NA,NA,"1/28/2021 20:15","1/7/2022 13:56","UWM","3123.189","10433.973","3123.189","10433.973"
"Hudson WWTF","WI0024279",19680,"544880001","qPCR","Gene copies/L",40494,FALSE,"Gene copies/L",65353,TRUE,10517517,NA,2021-01-23,"7:00","1/27/2021 10:00",1.41,NA,"7.7",NA,"1153","6.8","7.25","2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"544881001","qPCR","Gene copies/L",65794,FALSE,"Gene copies/L",110046,FALSE,23814109,NA,2021-01-23,"8:00","1/27/2021 10:00",3.62,NA,"7",NA,"1190",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Appleton WWTF","WI0023221",74832,"544883001","qPCR","Gene copies/L",46511,FALSE,"Gene copies/L",52860,TRUE,23841828,NA,2021-01-22,"0:00","1/27/2021 10:00",9.1,NA,"7.5",NA,"961","14.06",NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Menomonie WWTF","WI0024708",16000,"544884001","qPCR","Gene copies/L",51564,FALSE,"Gene copies/L",48214,TRUE,15803927,NA,2021-01-23,"7:35","1/27/2021 10:00",1.224,NA,"7.4",NA,"1109",NA,NA,"2/3/2021 18:15","2/15/2021 15:41","SLH","40000","130000","66000","140000"
"Racine Wastewater Utility","WI0025194",139000,"896","droplet digital PCR","copies/L wastewater",8669.301333,FALSE,"copies/L wastewater",4341.653333,FALSE,18362812.69,NA,2021-02-14,"0:00","2/18/2021",12.97,"111","7.14","120","1223","11",NA,"2/19/2021 10:41","1/7/2022 13:56","UWM","3249.237","10840.128","3249.237","10840.128"
"South Milwaukee WWTF","WI0028819",21156,"892","droplet digital PCR","copies/L wastewater",1093.816533,TRUE,"copies/L wastewater",0,TRUE,1683160.96,NA,2021-02-14,"7:00","2/18/2021",2.524,NA,NA,NA,"1144",NA,NA,"2/19/2021 10:41","1/7/2022 13:57","UWM","3277.248","10938.165","3277.248","10938.165"
"Waukesha WWTP","WI0029971",72549,"899","droplet digital PCR","copies/L wastewater",2955.125333,TRUE,"copies/L wastewater",1470.56,TRUE,31206683.73,NA,2021-02-14,"8:00","2/18/2021",6.273,"310",NA,"238","2490","4",NA,"2/19/2021 10:41","1/7/2022 13:57","UWM","4425.685","14747.616","4425.685","14747.616"
"Lodi WWTF","WI0022918",3100,"546940001","qPCR","Gene copies/L",33596,TRUE,"Gene copies/L",6801,TRUE,14041283,NA,2021-02-09,"6:40","2/12/2021 10:00",0.353,NA,"7",NA,"1166",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Chippewa Falls WWTF","WI0023604",13000,"546952001","qPCR","Gene copies/L",220202,FALSE,"Gene copies/L",175755,FALSE,5092512,NA,2021-02-09,"7:30","2/12/2021 10:00",2.034,NA,"6.5",NA,"1283","11",NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Mauston WWTF","WI0024635",4500,"546958001","qPCR","Gene copies/L",62849,FALSE,"Gene copies/L",57755,TRUE,13560581,NA,2021-02-09,"8:00","2/12/2021 10:00",0.369,NA,"7.74",NA,"1086",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Eau Claire WWTF","WI0023850",75000,"546972001","qPCR","Gene copies/L",52383,FALSE,"Gene copies/L",22402,TRUE,48947439,NA,2021-02-09,"6:00","2/12/2021 10:00",7.79,NA,"7.43",NA,"1140","12.4","5.69","2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Clintonville Wastewater Utility","WI0021466",4455,"546974001","qPCR","Gene copies/L",1015733,FALSE,"Gene copies/L",731626,FALSE,15792717,NA,2021-02-09,"7:00","2/12/2021 10:00",0.467,NA,"7.9",NA,"1144",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Lac du Flambeau Tribal Water & Sewer","WI0036498",3400,"546976001","qPCR","Gene copies/L",186365,FALSE,"Gene copies/L",132425,FALSE,16342909,NA,2021-02-09,"9:00","2/12/2021 10:00",0.09,NA,"7.3",NA,"1860","4.4",NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Heart of the Valley MSD","WI0031232",50000,"546977001","qPCR","Gene copies/L",14126,TRUE,"Gene copies/L",8202,TRUE,22773135,NA,2021-02-09,"7:20","2/12/2021 10:00",4.624,NA,"8",NA,"2529",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Marinette Wastewater Utility","WI0026182",10608,"546997001","qPCR","Gene copies/L",670261,FALSE,"Gene copies/L",500620,FALSE,46077345,NA,2021-02-09,"7:00","2/12/2021 10:00",1.68,NA,"7",NA,"834",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Manitowoc WWTF","WI0024601",34450,"547001001","qPCR","Gene copies/L",119764,FALSE,"Gene copies/L",64500,TRUE,10965079,NA,2021-02-09,"12:00","2/12/2021 10:00",6.386,NA,"7.5",NA,"905.5","6.1",NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Janesville WW Utility","WI0030350",63500,"547005001","qPCR","Gene copies/L",96615,FALSE,"Gene copies/L",52828,TRUE,13198381,NA,2021-02-09,"7:30","2/12/2021 10:00",10.86,NA,"7.62",NA,"1291",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"La Crosse WWTP","WI0029581",85000,"547006001","qPCR","Gene copies/L",156564,FALSE,"Gene copies/L",96060,FALSE,26314016,NA,2021-02-09,"7:42","2/12/2021 10:00",10.13,NA,"7.56",NA,"1584",NA,NA,"2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Algoma WWTF","WI0020745",NA,"547014001","qPCR","Gene copies/L",1390082,FALSE,"Gene copies/L",974624,FALSE,14706582,NA,2021-02-09,"7:30","2/12/2021 10:00",0.415,NA,"7.5",NA,"1762","5.2","11.86","2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Marshfield WWTF","WI0021024",19316,"547016001","qPCR","Gene copies/L",120768,FALSE,"Gene copies/L",53124,TRUE,20798796,NA,2021-02-09,"7:50","2/12/2021 10:00",2.011,NA,"7.1",NA,"1262","12.4","5.8","2/21/2021 21:55","5/26/2021 22:49","SLH","40000","130000","66000","140000"
"Oshkosh WWTP","WI0025038",67000,"547214001","qPCR","Gene copies/L",282660,FALSE,"Gene copies/L",246623,FALSE,28147910,NA,2021-02-08,"7:00","2/17/2021 9:21",7.345,NA,"7.74",NA,"1179",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"Plymouth Utilities WWTF","WI0030031",9000,"547215001","qPCR","Gene copies/L",93822,FALSE,"Gene copies/L",49428,FALSE,8090068,NA,2021-02-08,"8:04","2/18/2021 11:40",1.438,NA,"8",NA,"1201",NA,NA,"2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Plymouth Utilities WWTF","WI0030031",9000,"547215002","qPCR","Gene copies/L",118872,FALSE,"Gene copies/L",83833,FALSE,11503450,NA,2021-02-09,"7:20","2/18/2021 11:47",1.571,NA,"8.1",NA,"1432",NA,NA,"2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Plymouth Utilities WWTF","WI0030031",9000,"547215003","qPCR","Gene copies/L",88202,FALSE,"Gene copies/L",52958,TRUE,8701763,NA,2021-02-10,"8:00","2/18/2021 11:47",1.57,NA,"8.1",NA,"1567",NA,NA,"2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Keshena WWTF","WI0071315",2500,"547222001","qPCR","Gene copies/L",173134,FALSE,"Gene copies/L",118917,FALSE,7391181,NA,2021-02-10,"10:35","2/17/2021 9:33",0.1261,NA,"6.81",NA,"1600","9.1","4.24","2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Neopit WWTF","WI0073059",1000,"547223001","qPCR","Gene copies/L",149212,FALSE,"Gene copies/L",72264,FALSE,10231734,NA,2021-02-10,"9:40","2/17/2021 9:33",0.1153,NA,"6.17",NA,"527","10.3","2.07","2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Merrill WWTP","WI0020150",10000,"547224001","qPCR","Gene copies/L",36832,TRUE,"Gene copies/L",29928,TRUE,4826872,NA,2021-02-08,"7:00","2/17/2021 9:21",0.969,NA,"7.42",NA,"516",NA,NA,"2/21/2021 21:55","5/21/2021 22:49","SLH","40000","130000","66000","140000"
"Merrill WWTP","WI0020150",10000,"547224002","qPCR","Gene copies/L",263084,FALSE,"Gene copies/L",187374,FALSE,16111351,NA,2021-02-09,"7:00","2/17/2021 9:21",1.071,NA,"7.4",NA,"661",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"Merrill WWTP","WI0020150",10000,"547224003","qPCR","Gene copies/L",173953,FALSE,"Gene copies/L",144566,FALSE,12994129,NA,2021-02-10,"7:00","2/17/2021 9:21",1.011,NA,"7.83",NA,"646",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"Wolf River Ranch WWTF","WI0071307",1000,"547229001","qPCR","Gene copies/L",232898,FALSE,"Gene copies/L",177985,FALSE,5776705,NA,2021-02-10,"10:05","2/17/2021 9:33",0.0205,NA,"6.09",NA,"571","12.2","2.82","2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"547230001","qPCR","Gene copies/L",125826,FALSE,"Gene copies/L",41980,TRUE,26448922,NA,2021-02-08,"8:00","2/18/2021 11:47",3.42,NA,"7.25",NA,"921",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"547230002","qPCR","Gene copies/L",116938,FALSE,"Gene copies/L",52360,TRUE,31566474,NA,2021-02-09,"8:00","2/18/2021 11:47",3.68,NA,"7",NA,"1415",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"Wausau Water Works WWTF","WI0025739",NA,"547230003","qPCR","Gene copies/L",39160,FALSE,"Gene copies/L",11512,TRUE,23323521,NA,2021-02-10,"8:00","2/18/2021 11:47",3.66,NA,"7",NA,"1113",NA,NA,"2/21/2021 21:55","5/7/2021 22:46","SLH","40000","130000","66000","140000"
"River Falls Municipal Utility WWTF","WI0029394",16000,"547241001","qPCR","Gene copies/L",273434,FALSE,"Gene copies/L",199776,FALSE,18330782,NA,2021-02-08,"7:30","2/18/2021 11:47",1.337,NA,"7.74",NA,"660","6.8","5.26","2/21/2021 21:55","5/24/2021 22:49","SLH","40000","130000","66000","140000"
