"Site","Date","sample_id","FlowRate","Cov1_below_lod","cov2_conc","BCoV","BCoVConc","bod","capacity_mgd","composite_freq","concentration_method","conductivity","county","do","epaid","equiv_sewage_amt","extraction_method","hf183_conc","inhibition_adjust","inhibition_detect","inhibition_method","lod_ref","n1_lod","n1_loq","n1_ntc_amplify","n1_num_no_target_control","n1_num_ntc_amplify","N1","N1Error","n1_sars_cov2_lod","n1_sars_cov2_units","n2_lod","n2_loq","n2_ntc_amplify","n2_num_no_target_control","n2_num_ntc_amplify","N2","N2Error","n2_sars_cov2_lod","n2_sars_cov2_units","pcr_type","ph","PMMoV","Pop","quant_stan_ref","quant_stan_type","sample_collect_time","sample_location","sample_location_specify","sample_matrix","sample_type","state","temperature","RepDate","tss","wwtp_comments","zipcode","analytical_comments","unformatted_collectdate","mycustomer","AVG","wt"
"Rib Mountain",2020-12-01,"538120001",2.56,NA,305140,2.99,5.8633,NA,4.41,"24hr-FWCmp","filtMgCl2",1089,"Marathon",NA,"WI0035581",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,449866,28254,NA,"Gene copies/L",33000,68000,"N",3,NA,160415,73917,"No","Gene copies/L","qPCR",7.52,31129839,40000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54401",NA,"44166.291666666664","355660",268635.91418498,2
"Janesville",2020-12-01,"538121001",11.33,NA,267118,4.53,5.8633,NA,16.1,"24hr-FWCmp","filtMgCl2",1109,"Rock",NA,"WI0030350",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,278481,20279,NA,"Gene copies/L",33000,68000,"N",3,NA,255756,63933,"No","Gene copies/L","qPCR",7.84,21762193,63500,"IDT","DNA-plasm","07:25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 08:29:00,NA,NA,"53548",NA,"44166.309027777781","355660",266876.725541963,2
"Mauston",2020-12-01,"538122001",0.367,NA,123696,6,5.8633,NA,1.1,"24hr-FWCmp","filtMgCl2",836,"Juneau",NA,"WI0024635",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,105896,8956,NA,"Gene copies/L",33000,68000,"N",3,NA,141496,33530,"No","Gene copies/L","qPCR",7.5,5740964,4500,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"53948",NA,"44166.333333333336","355660",122408.57983001,2
"Spooner",2020-12-01,"538123001",0.17,NA,352370,1.65,5.8633,NA,0.375,"24hr-FWCmp","filtMgCl2",695,"Washburn",NA,"WI0021067",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,518014,16335,NA,"Gene copies/L",33000,68000,"N",3,NA,186727,55119,"No","Gene copies/L","qPCR",7.8,18827934,2700,"IDT","DNA-plasm","07:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.7,2020-12-08 09:00:00,NA,NA,"54801",NA,"44166.3125","355660",311009.967972089,2
"Menomonie",2020-12-01,"538125001",1.365,NA,198137,1.03,5.8633,NA,2.88,"24hr-FWCmp","filtMgCl2",1220,"Dunn",NA,"WI0024708",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,93111,2786,NA,"Gene copies/L",33000,68000,"N",3,NA,303163,17288,"No","Gene copies/L","qPCR",7.5,16845801,16000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54751",NA,"44166.291666666664","355660",168011.33917983,2
"Eau Claire",2020-12-01,"538129001",6.56,NA,634173,1.55,5.8633,NA,12,"24hr-FWCmp","filtMgCl2",1097,"Eau Claire","5.18","WI0023850",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,415780,36327,NA,"Gene copies/L",33000,68000,"N",3,NA,852565,23978,"No","Gene copies/L","qPCR",7.45,32031320,75000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",16.4,2020-12-08 10:22:00,NA,NA,"54703",NA,"44166.25","355660",595381.789862606,2
"Kenosha",2020-12-01,"538136001",18.78,NA,251726,4.61,5.8633,NA,28,"24hr-FWCmp","filtMgCl2",1133,"Kenosha",NA,"WI0028703",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,247525,15008,NA,"Gene copies/L",33000,68000,"N",3,NA,255927,61691,"No","Gene copies/L","qPCR",7.7,17220164,122000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 08:29:00,NA,NA,"53143",NA,"44166","355660",251690.942775063,2
"Whitewater",2020-12-01,"538139001",1.25,NA,34041,0.38,5.8633,NA,3.65,"24hr-FWCmp","filtMgCl2",1450,"Walworth","6.12","WI0020001",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,34040,821,NA,"Gene copies/L",33000,68000,"N",3,NA,34042,-1,"Yes","Gene copies/L","qPCR",7.89,2324999,14000,"IDT","DNA-plasm","08:03","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",6.7,2020-12-08 09:00:00,NA,NA,"53190",NA,"44166.335416666669","355660",34040.9999853118,2
"La Crosse",2020-12-01,"538142001",9.59,NA,194506,0.6,5.8633,NA,20,"24hr-FWCmp","filtMgCl2",1513,"La Crosse",NA,"WI0029581",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,108790,15356,NA,"Gene copies/L",33000,68000,"N",3,NA,280222,17227,"No","Gene copies/L","qPCR",6.75,14536229,85000,"IDT","DNA-plasm","07:22","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 08:29:00,NA,NA,"54601",NA,"44166.306944444441","355660",174600.548051832,2
"Mondovi",2020-12-01,"538146001",0.213,NA,357026,3.27,5.8633,NA,0.3,"24hr-FWCmp","filtMgCl2",730,"Buffalo",NA,"WI0020591",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,183438,22684,NA,"Gene copies/L",33000,68000,"N",3,NA,530614,48444,"Yes","Gene copies/L","qPCR",7.5,15017485,2800,"IDT","DNA-plasm","09:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54755",NA,"44166.375","355660",311985.209476347,2
"Portage",2020-12-01,"538148001",1.772,NA,195257,5.99,5.8633,NA,2.102,"24hr-FWCmp","filtMgCl2",1521,"Columbia","5.49","WI0020427",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,180027,9019,NA,"Gene copies/L",33000,68000,"N",3,NA,210487,10579,"No","Gene copies/L","qPCR",7.8,35842971,10693,"IDT","DNA-plasm","07:15","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13.89,2020-12-08 09:00:00,NA,NA,"53901",NA,"44166.302083333336","355660",194662.125615128,2
"Rib Lake",2020-12-01,"538150001",0.079,NA,335180,5.82,5.8633,NA,0.5,"24hr-FWCmp","filtMgCl2",916,"Taylor","3.73","WI0029017",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,344629,17146,NA,"Gene copies/L",33000,68000,"N",3,NA,325730,37572,"No","Gene copies/L","qPCR",7.6,8440505,386,"IDT","DNA-plasm","12:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",8.8,2020-12-08 09:00:00,NA,NA,"54470",NA,"44166.5","355660",335046.271684972,2
"WI Rapids",2020-12-01,"538151001",2.897,NA,119132,7.83,5.8633,NA,5.27,"24hr-FWCmp","filtMgCl2",850,"Wood",NA,"WI0025844",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,154414,3325,NA,"Gene copies/L",33000,68000,"N",3,NA,83851,17913,"No","Gene copies/L","qPCR",6.6,12441197,20000,"IDT","DNA-plasm","08:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54494",NA,"44166.333333333336","355660",113788.260879583,2
"Lodi",2020-12-01,"538152001",0.376,NA,33472,9.03,5.8633,NA,0.542,"24hr-FWCmp","filtMgCl2",1265,"Columbia",NA,"WI0022918",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,22332,5349,NA,"Gene copies/L",33000,68000,"N",3,NA,44613,7261,"No","Gene copies/L","qPCR",7.5,4562569,3100,"IDT","DNA-plasm","06:45","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 08:29:00,NA,NA,"53555",NA,"44166.28125","355660",31564.1809017754,2
"Manitowoc",2020-12-01,"538173001",7.657,NA,225979,6.27,5.8633,NA,15.5,"24hr-FWCmp","filtMgCl2",948,"Manitowoc",NA,"WI0024601",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,114186,3323,NA,"Gene copies/L",33000,68000,"N",3,NA,337772,37344,"No","Gene copies/L","qPCR",7.9,7891142,34450,"IDT","DNA-plasm","12:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",12.2,2020-12-08 08:29:00,NA,NA,"54220",NA,"44166.5","355660",196389.494607018,2
"Merrill",2020-12-01,"538175001",1.214,NA,168751,2.38,5.8633,NA,3.06,"24hr-FWCmp","filtMgCl2",856,"Lincoln",NA,"WI0020150",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,220312,8446,NA,"Gene copies/L",33000,68000,"N",3,NA,117189,21990,"No","Gene copies/L","qPCR",7,7521919,10000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54452",NA,"44166.291666666664","355660",160680.250709289,2
"Marshfield",2020-12-01,"538177001",2.021,NA,32252,0.12,5.8633,NA,4.63,"24hr-FWCmp","filtMgCl2",1415,"Wood","5.8","WI0021024",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,55165,2458,NA,"Gene copies/L",33000,68000,"N",3,NA,9339,-1,"Yes","Gene copies/L","qPCR",6.8,10002851,19316,"IDT","DNA-plasm","07:55","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.4,2020-12-08 08:23:00,NA,NA,"54449",NA,"44166.329861111109","355660",22697.7077036427,2
"Algoma",2020-12-01,"538179001",0.515,NA,109304,16.78,5.8633,NA,1,"24hr-FWCmp","filtMgCl2",1071,"Kewaunee","10.40","WI0020745",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,91593,7168,NA,"Gene copies/L",33000,68000,"N",3,NA,127015,23174,"No","Gene copies/L","qPCR",8,15229472,NA,"IDT","DNA-plasm","07:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",10.4,2020-12-08 09:30:00,NA,NA,"54201",NA,"44166.3125","355660",107859.560980935,2
"Viroqua",2020-12-01,"538188001",0.279,NA,142041,0.37,5.8633,NA,0.535,"24hr-FWCmp","filtMgCl2",1296,"Vernon",NA,"WI0021920",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,152822,-1,NA,"Gene copies/L",33000,68000,"N",3,NA,131261,6928,"No","Gene copies/L","qPCR",7.65,25748940,4335,"IDT","DNA-plasm","07:55","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54665",NA,"44166.329861111109","355660",141631.80625128,2
"Hartford",2020-12-01,"538190001",1.86,NA,11968,0.42,5.8633,NA,3.6,"24hr-FWCmp","filtMgCl2",1802,"Washington",NA,"WI0020192",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,7465,3163,NA,"Gene copies/L",33000,68000,"N",3,NA,16470,2725,"Yes","Gene copies/L","qPCR",7.5,520309,15200,"IDT","DNA-plasm","07:16","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 10:22:00,NA,NA,"53027",NA,"44166.302777777775","355660",11088.2167186613,2
"Chippewa Falls",2020-12-01,"538214001",2.161,NA,271273,6.55,5.8633,NA,4.5,"24hr-FWCmp","filtMgCl2",1380,"Chippewa",NA,"WI0023604",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,375710,23724,NA,"Gene copies/L",33000,68000,"N",3,NA,166835,29212,"No","Gene copies/L","qPCR",6.9,13896687,13000,"IDT","DNA-plasm","07:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13,2020-12-08 10:22:00,NA,NA,"54729-2175",NA,"44166.3125","355660",250362.892318331,2
"Lake Geneva",2020-12-01,"538215001",1.0928758,NA,549759,2.94,5.8633,NA,2.5,"24hr-FWCmp","filtMgCl2",1618,"Walworth","1.07","WI0021130",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,232366,14519,NA,"Gene copies/L",33000,68000,"N",3,NA,867153,114773,"No","Gene copies/L","qPCR",7.62,32698216,8000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4.2,2020-12-08 08:29:00,NA,NA,"53147",NA,"44166.291666666664","355660",448884.031792177,2
"Heart of the Valley",2020-12-01,"538216001",4.769,NA,324702,4.32,5.8633,NA,26.4,"24hr-FWCmp","filtMgCl2",2120,"Outagamie",NA,"WI0031232",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,141213,9524,NA,"Gene copies/L",33000,68000,"N",3,NA,508191,29691,"No","Gene copies/L","qPCR",7.6,13564476,50000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",4.2,2020-12-08 10:22:00,NA,"FROZEN SAMPLE Sample received frozen.","54130",NA,"44166.291666666664","355660",267886.497761645,2
"Waupaca",2020-12-01,"538217001",1.4464,NA,166913,2.98,5.8633,NA,1.5,"24hr-FWCmp","filtMgCl2",1317,"Waupaca",NA,"WI0030490",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,107816,1285,NA,"Gene copies/L",33000,68000,"N",3,NA,226011,5440,"No","Gene copies/L","qPCR",7.6,8942533,10000,"IDT","DNA-plasm","07:34","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",9.6,2020-12-08 09:00:00,NA,"Sample received below 2 degrees C Sample received below 2 degrees C","54981",NA,"44166.31527777778","355660",156101.255523458,2
"Baraboo",2020-12-01,"538218001",1.67,NA,93828,3.81,5.8633,NA,2.53,"24hr-FWCmp","filtMgCl2",1108,"Sauk",NA,"WI0020605",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,104245,6663,NA,"Gene copies/L",33000,68000,"N",3,NA,83412,12600,"No","Gene copies/L","qPCR",7.5,28994189,14000,"IDT","DNA-plasm","07:18","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:41:00,NA,NA,"53913",NA,"44166.304166666669","355660",93248.5063687349,2
"Sturgeon Bay",2020-12-01,"538219001",2,NA,90382,1.73,5.8633,NA,7.418,"24hr-FWCmp","filtMgCl2",1695,"Door",NA,"WI0021113",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,51649,4643,NA,"Gene copies/L",33000,68000,"N",3,NA,129114,23298,"No","Gene copies/L","qPCR",7.9,19779641,9500,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",11.1,2020-12-08 09:00:00,NA,NA,"54235",NA,"44166.291666666664","355660",81661.5514547697,2
"Wolf",2020-12-01,"538232001",1.85,NA,336528,3.92,5.8633,NA,2.63,"24hr-FWCmp","filtMgCl2",1031,"Shawano",NA,"WI0028452",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,392697,22915,NA,"Gene copies/L",33000,68000,"N",3,NA,280359,12891,"No","Gene copies/L","qPCR",7.48,12873848,18000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"54166",NA,"44166.291666666664","355660",331807.381206326,2
"Oconomowoc",2020-12-01,"538234001",2.617,NA,405094,1.1,5.8633,NA,4.02,"24hr-FWCmp","filtMgCl2",1549,"Waukesha","2.47","WI0021181",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,237815,19023,NA,"Gene copies/L",33000,68000,"N",3,NA,572373,68634,"No","Gene copies/L","qPCR",7.6,12004338,34135,"IDT","DNA-plasm","07:25","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.9,2020-12-08 09:00:00,NA,NA,"53066",NA,"44166.309027777781","355660",368942.929184176,2
"Berlin WWTP",2020-12-01,"538236001",0.855,NA,60592,5.79,5.8633,NA,1.5,"24hr-FWCmp","filtMgCl2",1693,"Green Lake",NA,"WI0021229",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,71395,5588,NA,"Gene copies/L",33000,68000,"N",3,NA,49789,4058,"No","Gene copies/L","qPCR",8.17,40855229,6000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.1,2020-12-08 09:41:00,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN.","54923",NA,"44166.291666666664","355660",59621.1846158729,2
"Monroe",2020-12-01,"538237001",1.715,NA,74298,0.15,5.8633,NA,3.7,"24hr-FWCmp","filtMgCl2",1670,"Green",NA,"WI0020362",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,65968,6091,NA,"Gene copies/L",33000,68000,"N",3,NA,82627,-1,"Yes","Gene copies/L","qPCR",7.5,9760275,10800,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"53566",NA,"44166.291666666664","355660",73829.1130652401,2
"Appleton",2020-12-01,"538268001",10.3,NA,22829,0.73,5.8633,NA,15.5,"24hr-FWCmp","filtMgCl2",1118,"Outagamie",NA,"WI0023221",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,25568,3125,NA,"Gene copies/L",33000,68000,"N",3,NA,20089,7679,"Yes","Gene copies/L","qPCR",7.5,29742003,74832,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:34:00,NA,NA,"54914",NA,"44166","355660",22663.5291161814,2
"BlackRiverFallsWWTP",2020-12-01,"538269001",0.468,NA,222169,4.51,5.8633,NA,1.5,"24hr-FWCmp","filtMgCl2",651,"Jackson",NA,"WI0021954",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,192189,8494,NA,"Gene copies/L",33000,68000,"N",3,NA,252149,53931,"No","Gene copies/L","qPCR",7.62,11687492,5200,"IDT","DNA-plasm","08:15","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:46:00,NA,NA,"54615",NA,"44166.34375","355660",220136.92139439,2
"Sheboygan",2020-11-30,"538294001",10.499,NA,302762,4.33,5.8633,NA,18.4,"24hr-FWCmp","filtMgCl2",1012,"Sheboygan",NA,"WI0025411",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,202496,14194,NA,"Gene copies/L",33000,68000,"N",3,NA,403028,11371,"No","Gene copies/L","qPCR",7.7,13770387,75000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",16,2020-12-08 09:00:00,NA,NA,"53081",NA,"44165.25","355660",285677.366775879,2
"Plymouth",2020-12-01,"538300001",1.8,NA,113243,1.14,5.8633,NA,1.8,"24hr-FWCmp","filtMgCl2",1263,"Sheboygan",NA,"WI0030031",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,153252,12490,NA,"Gene copies/L",33000,68000,"N",3,NA,73235,19158,"No","Gene copies/L","qPCR",7.5,7446856,9000,"IDT","DNA-plasm","07:35","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-08 09:00:00,NA,NA,"53073",NA,"44166.315972222219","355660",105940.597600731,2
"Columbus",2020-12-01,"538302001",0.955,NA,70770,7.23,5.8633,NA,1.165,"24hr-FWCmp","filtMgCl2",1132,"Columbia","2.33","WI0021008",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,67828,6233,NA,"Gene copies/L",33000,68000,"N",3,NA,73713,16516,"No","Gene copies/L","qPCR",7.4,12188168,7000,"IDT","DNA-plasm","09:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",13.8,2020-12-08 10:22:00,NA,NA,"53925",NA,"44166.395833333336","355660",70709.3018209061,2
"Sparta",2020-12-01,"538304001",1.242,NA,76220,0.16,5.8633,NA,4,"24hr-FWCmp","filtMgCl2",800,"Monroe","3.80","WI0020737",2,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",20000,64000,"N",3,NA,59541,9070,NA,"Gene copies/L",33000,68000,"N",3,NA,92898,22451,"No","Gene copies/L","qPCR",7.87,10126978,9500,"IDT","DNA-plasm","07:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",3,2020-12-08 09:00:00,NA,NA,"54656",NA,"44166.3125","355660",74372.3054503489,2
"Keshena",2020-12-02,"538470001",0.1041,NA,567974,NA,5.863335096,NA,0.35,"24hr-FWCmp","filtMgCl2",966,"Menominee","2.01","WI0071315",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,781125,88583,NA,"Gene copies/L",66000,140000,"N",3,NA,354824,60782,"No","Gene copies/L","qPCR",6.82,11492184,2500,"IDT","DNA-plasm","11:05","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14,2020-12-04 20:34:00,NA,NA,"54135",NA,"44167.461805555555","355660",526461.676667922,2
"Wolf River",2020-12-02,"538471001",0.0151,NA,31242,2.687,5.863335096,NA,0.065,"24hr-FWCmp","filtMgCl2",797,"Menominee","1.44","WI0071307",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,55153,3109,NA,"Gene copies/L",66000,140000,"N",3,NA,7330,3737,"Yes","Gene copies/L","qPCR",6.62,2852185,1000,"IDT","DNA-plasm","10:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",15.4,2020-12-04 20:34:00,NA,NA,"54135",NA,"44167.4375","355660",20106.5036741846,2
"Platteville",2020-12-02,"538473001",0.954,NA,243782,4.745,5.863335096,NA,3,"24hr-FWCmp","filtMgCl2",1572,"Grant","2.43","WI0020435",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,411046,13078,NA,"Gene copies/L",66000,140000,"N",3,NA,76518,41793,"No","Gene copies/L","qPCR",7.94,24786286,14000,"IDT","DNA-plasm","06:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.89,2020-12-04 20:34:00,NA,NA,"53818",NA,"44167.25","355660",177348.295249771,2
"River Falls",2020-12-01,"538474001",1.302,NA,216120,4.786,5.863335096,NA,1.8,"24hr-FWCmp","filtMgCl2",811,"Pierce","4.7","WI0029394",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,356285,9596,NA,"Gene copies/L",66000,140000,"N",3,NA,75955,25195,"No","Gene copies/L","qPCR",7.52,15203454,16000,"IDT","DNA-plasm","07:30","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",9.5,2020-12-04 20:34:00,NA,"Sample received below 2 degrees C Sample received below 2 degrees C","54022",NA,"44166.3125","355660",164504.185888992,2
"Neopit",2020-12-02,"538483001",NA,NA,2692355,3.901,5.863335096,NA,0.17,"24hr-FWCmp","filtMgCl2",598,"Menominee","3.75","WI0073059",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,2462457,163186,NA,"Gene copies/L",66000,140000,"N",3,NA,2922253,176774,"No","Gene copies/L","qPCR",6.23,1769888,1000,"IDT","DNA-plasm","09:45","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",14.8,2020-12-04 20:34:00,NA,"Flow meter inoperational. Flow meter inoperational.","54135",NA,"44167.40625","355660",2682521.64122137,2
"Oshkosh",2020-12-01,"538484001",10.92,NA,387061,7.078,5.863335096,NA,20,"24hr-FWCmp","filtMgCl2",985,"Winnebago",NA,"WI0025038",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,525729,28822,NA,"Gene copies/L",66000,140000,"N",3,NA,248393,25824,"No","Gene copies/L","qPCR",7.91,16873982,67000,"IDT","DNA-plasm","07:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-04 20:34:00,NA,NA,"54902",NA,"44166.291666666664","355660",361368.791537122,2
"Beloit",2020-12-02,"538485001",3.994,NA,235176,2.051,5.863335096,NA,11.3,"24hr-FWCmp","filtMgCl2",1615,"Rock",NA,"WI0023370",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,287812,8854,NA,"Gene copies/L",66000,140000,"N",3,NA,182539,12084,"No","Gene copies/L","qPCR",7.5,7842933,NA,"IDT","DNA-plasm","07:08","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",18.6,2020-12-04 20:34:00,NA,NA,"53511",NA,"44167.297222222223","355660",229209.325002278,2
"Madison",2020-12-03,"538615001",37.76,NA,208393,2.162,5.863335096,NA,56,"24hr-FWCmp","filtMgCl2",1480,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,381997,19285,NA,"Gene copies/L",66000,140000,"N",3,NA,34789,2811,"Yes","Gene copies/L","qPCR",7.72,70713804,380000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-04 20:34:00,NA,NA,"53713",NA,"44168","355660",115279.198613627,2
"Madison",2020-12-02,"538616001",38.08,NA,205058,2.006,5.863335096,NA,56,"24hr-FWCmp","filtMgCl2",1409,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,366513,61515,NA,"Gene copies/L",66000,140000,"N",3,NA,43604,15162,"Yes","Gene copies/L","qPCR",7.79,33362476,380000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-04 20:34:00,NA,NA,"53713",NA,"44167","355660",126417.69200551,2
"Madison",2020-12-04,"538617001",38.88,NA,149391,3.502,5.863335096,NA,56,"24hr-FWCmp","filtMgCl2",1451,"Dane",NA,"WI0024597",1,"PromegaHT",NA,"No","No","BRSV-RNA","Klymus19",40000,130000,"N",3,NA,256493,44438,NA,"Gene copies/L",66000,140000,"N",3,NA,42288,15154,"Yes","Gene copies/L","qPCR",7.79,33986950,380000,"IDT","DNA-plasm","00:00","influent",NA,"Influent (Untreated Waste H2O)","composite","WI",NA,2020-12-04 20:34:00,NA,NA,"53713",NA,"44169","355660",104146.896180347,2
