"Site","Date","sample_id","FlowRate","cov2_conc","BCoV","capacity_mgd","conductivity","do","equiv_sewage_amt","n1_lod","n1_loq","N1","N1Error","n1_sars_cov2_lod","n2_lod","n2_loq","N2","N2Error","n2_sars_cov2_lod","ph","PMMoV","Pop","temperature","tss","wwtp_comments","zipcode","analytical_comments","AVG","wt"
"Lodi",2021-02-23,548653001,0.408,48752,7.33,0.542,1377,NA,1,40000,130000,48335,14702,NA,66000,140000,49170,12000,"Yes",7,6825140.81,3100,NA,NA,"Sample received below 2 degrees C Sample received below 2 degrees C Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53555",NA,48750.7123024885,2
"Manitowoc",2021-02-23,548655001,5.503,60155,9.251,15.5,1165,NA,1,40000,130000,62191,3016,NA,66000,140000,58119,13654,"Yes",7.5,10640903.83,34450,12.8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,60120.5350026095,2
"Marinette",2021-02-23,548658001,1.72,113077,8.384,7.8,1031,NA,1,40000,130000,136419,5248,NA,66000,140000,89736,18143,"No",7,18118275.92,10608,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54143",NA,110642.195314446,2
"Marshfield",2021-02-23,548660001,2.169,NA,0.00526,4.63,1878,6.9,1,40000,130000,NA,-1,NA,66000,140000,NA,-1,"Yes",7.1,12044480,19316,12.8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54449",NA,NA,0
"Mauston",2021-02-23,548662001,0.412,14883,3.066,1.1,1134,NA,1,40000,130000,13897,266,NA,66000,140000,15869,1877,"Yes",7.96,3610170.42,4500,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53948",NA,14850.3027915258,2
"Menomonie",2021-02-23,548663001,1.422,30369,5.911638286,2.88,1424,NA,1,40000,130000,35411,8846,NA,66000,140000,25326,2851,"Yes",8.2,12510307.03,16000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54751",NA,29946.9361705,2
"Mondovi",2021-02-23,548664001,0.203,17664,1.496658822,0.3,925,NA,1,40000,130000,16800,2487,NA,66000,140000,18529,4644,"Yes",7.61,4825722.96,2800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54755",NA,17643.333018452,2
"Monroe",2021-02-23,548665001,1.77,21352,0.03418,3.7,1954,NA,1,40000,130000,29709,9022,NA,66000,140000,12995,2914,"Yes",8.24,3846257,10800,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53566",NA,19648.6247610361,2
"New Richmond",2021-02-23,548666001,0.641,24504,5.293648153,0.98,1294,NA,1,40000,130000,14797,1166,NA,66000,140000,34211,7001,"Yes",7.62,9485002.61,9167,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54017",NA,22499.3370346773,2
"Oconomowoc",2021-02-23,548667001,2.432,23962,2.876881841,4.02,1849,0.23,1,40000,130000,25449,483,NA,66000,140000,22475,11425,"Yes",7.7,5863735.64,34135,17.1,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53066",NA,23915.8164192653,2
"Red Cliff",2021-02-23,548668001,0.084,NA,2.333487934,0.22,846,NA,1,40000,130000,NA,-1,NA,66000,140000,NA,-1,"Yes",7,1977420,1900,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54814",NA,NA,0
"Rhinelander",2021-02-23,548669001,0.9,49837,3.07939814,2.21,1110,NA,1,40000,130000,49803,7260,NA,66000,140000,49871,9770,"Yes",7.28,22677364.96,7800,3.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54501",NA,49836.9884021898,2
"Rib Lake",2021-02-23,548670001,0.038,92812,2.231170091,0.5,915,2.61,1,40000,130000,82550,17056,NA,66000,140000,103074,20855,"No",6.33,3618183.93,386,9.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54470",NA,92242.9330626471,2
"Rib Mountain",2021-02-23,548671001,2.48,13727,1.790399252,4.41,1457,NA,1,40000,130000,19850,6940,NA,66000,140000,7605,1147,"Yes",7.65,5867896.43,40000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,12286.5475215782,2
"Sheboygan",2021-02-23,548672001,8.809,16785,0.887211721,18.4,1356,NA,1,40000,130000,20268,3455,NA,66000,140000,13302,3581,"Yes",7.4,5976632.78,75000,12.78,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,16419.6509098093,2
"Sparta",2021-02-23,548675001,1.194,26482,3.28844,4,1000,NA,1,40000,130000,17397,9114,NA,66000,140000,35567,12344,"Yes",9.23,7733367,9500,11.9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54656",NA,24874.8688237747,2
"Spooner",2021-02-23,548677001,0.239,11200,2.971462317,0.375,883,NA,1,40000,130000,10952,2452,NA,66000,140000,11448,3447,"Yes",9,1378944.01,2700,8.3,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54801",NA,11197.2539490716,2
"Stevens Point",2021-02-23,548678001,1.961,92388,2.54351792,4.55,1936,NA,1,40000,130000,102916,2984,NA,66000,140000,81861,7476,"No",7.21,4800767.9,27000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54481",NA,91786.7456444557,2
"Sturgeon Bay",2021-02-23,548679001,2,17332,1.56882,7.418,1698,NA,1,40000,130000,12731,4955,NA,66000,140000,21932,6926,"Yes",7.8,1943107,9500,9.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54235",NA,16709.7663658113,2
"Viroqua",2021-02-23,548681001,0.265,22512,0.092000641,0.535,2230,NA,1,40000,130000,18038,3492,NA,66000,140000,26987,4390,"Yes",8.05,9242988.42,4335,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54665",NA,22063.3521025251,2
"Waupaca",2021-02-23,548684001,1.3083,19824,1.846958709,1.5,1250,NA,1,40000,130000,18493,17486,NA,66000,140000,21155,2923,"Yes",7.3,4392329.67,10000,9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54981",NA,19779.2673018997,2
"Whitewater",2021-02-23,548686001,1.152,12590,0.789594461,3.65,1600,5.57,1,40000,130000,6269,499,NA,66000,140000,18910,6081,"Yes",7.98,5746071.45,14000,6.1,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53190",NA,10887.9194523104,2
"WI Rapids",2021-02-23,548687001,2.473,24416,4.814598511,5.27,1089,NA,1,40000,130000,23971,7953,NA,66000,140000,24860,5639,"Yes",6.8,4379756.65,20000,NA,NA,"SAMPLE RECEIVED WARM. RESULTS UNCERTAIN. Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54494",NA,24411.4534593907,2
"Wolf",2021-02-23,548688001,1.75,11185,3.14425,2.63,1291,NA,1,40000,130000,12674,4362,NA,66000,140000,9696,3092,"Yes",7.42,1820011,18000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54166",NA,11085.4455932091,2
"Merrill",2021-02-23,548886001,1.122,37005,3.695206812,3.06,923,NA,1,40000,130000,49420,7410,NA,66000,140000,24590,4615,"Yes",7.47,9413463,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,34860.2610431993,2
"Wausau",2021-02-23,548887002,3.95,13421,0.24,8.2,1585,NA,1,40000,130000,15440,6541,NA,66000,140000,11401,3940,"Yes",7.5,24873065,42000,NA,NA,NA,"54401",NA,13267.6840480922,2
"Sun Prairie",2021-02-23,548890002,3.082,37166,4.68,6.2,1332,NA,1,40000,130000,49367,7299,NA,66000,140000,24966,3375,"Yes",7.3,73505252,34926,10.8,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,35106.9298287389,2
"Platteville",2021-02-23,548891002,1,83532,16.351,3,2044,4.69,1,40000,130000,86631,14363,NA,66000,140000,80434,14227,"No",7.81,9621547,14000,10.9,NA,NA,"53818",NA,83475.0133513017,2
"Plymouth",2021-02-23,548892002,1.536,37227,1.55,1.8,1299,NA,1,40000,130000,53477,10132,NA,66000,140000,20977,5216,"Yes",8,10892888,9000,NA,NA,NA,"53073",NA,33493.0892722663,2
"Oshkosh",2021-02-23,548899002,7.294,58689,5.815405314,20,1202,NA,1,40000,130000,77714,9281,NA,66000,140000,39663,6155,"Yes",8.13,53612289,67000,NA,NA,"RECEIVED WARM RECEIVED WARM Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,55519.0992542206,2
"River Falls",2021-02-23,548900002,1.323,582420,4.85,1.8,698.8,4.51,1,40000,130000,773490,123645,NA,66000,140000,391350,65489,"No",7.49,15931947,16000,6.1,NA,NA,"54022",NA,550186.615158893,2
"Kenosha",2021-02-23,548902002,17.74,144824,5.926,28,2160,NA,1,40000,130000,161678,13829,NA,66000,140000,127970,13862,"No",7.4,22627338,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,143839.958495545,2
"Hudson",2021-02-23,548903002,1.473,53587,5.614,2.2,1371,5.44,1,40000,130000,51753,7117,NA,66000,140000,55421,14853,"Yes",7.76,6575284,19680,8.17,NA,NA,"54016",NA,53555.6067372969,2
"Merrill",2021-02-24,548886002,1.054,45375,8.054155532,3.06,558,NA,1,40000,130000,61123,8535,NA,66000,140000,29626,6189,"Yes",7.66,7348679,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,42553.8482161132,2
"Wausau",2021-02-24,548887003,3.93,74506,2.32,8.2,1242,NA,1,40000,130000,104511,12696,NA,66000,140000,44501,4621,"Yes",7.5,28384983,42000,NA,NA,NA,"54401",NA,68197.0967930454,2
"Neopit",2021-02-24,548888001,0.1153,22120,1.679963112,0.17,930.5,1.23,1,40000,130000,31487,280,NA,66000,140000,12753,2069,"Yes",6.35,14707469,1000,12.9,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. WARM SAMPLE WARM SAMPLE","54135",NA,20038.805129049,2
"Sun Prairie",2021-02-24,548890003,3.297,21468,4.79,6.2,1041,NA,1,40000,130000,27759,4835,NA,66000,140000,15177,2959,"Yes",7.3,14942451,34926,11.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,20525.5534151944,2
"Platteville",2021-02-24,548891003,1.038,69029,15.44,3,2065,4.96,1,40000,130000,79747,26551,NA,66000,140000,58312,15370,"Yes",7.8,47087023,14000,12.87,NA,NA,"53818",NA,68192.4267349388,2
"Plymouth",2021-02-24,548892003,1.689,32685,2.64,1.8,1393,NA,1,40000,130000,50916,5239,NA,66000,140000,14454,3102,"Yes",8.1,7052159,9000,NA,NA,NA,"53073",NA,27128.2115886765,2
"Portage",2021-02-24,548896001,1.695,38940,2.18732954,2.102,1259,4.86,1,40000,130000,53369,4143,NA,66000,140000,24511,3548,"Yes",7.7,22048482,10693,10,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53901",NA,36168.0461042617,2
"Keshena",2021-02-24,548897001,0.139,16423,1.59097,0.35,1467,4.61,1,40000,130000,21009,6343,NA,66000,140000,11836,2898,"Yes",6.59,11824838,2500,11.9,NA,"RECEIVED WARM RECEIVED WARM Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54135",NA,15769.0368761063,2
"Wolf River",2021-02-24,548898001,0.02,23834,0.473124544,0.065,646.9,1.32,1,40000,130000,40674,4495,NA,66000,140000,6993,2926,"Yes",6.25,13619528,1000,16.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. WARM SAMPLE WARM SAMPLE","54135",NA,16865.1499252156,2
"Oshkosh",2021-02-24,548899003,8.191,42767,3.355821438,20,1585,NA,1,40000,130000,58183,6639,NA,66000,140000,27352,7008,"Yes",7.96,31826785,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,39892.6235788021,2
"River Falls",2021-02-24,548900003,1.332,535506,7.23,1.8,809.5,4.2,1,40000,130000,708136,44224,NA,66000,140000,362875,14096,"No",7.6,46992780,16000,9.1,NA,NA,"54022",NA,506917.006027614,2
"Beloit",2021-02-24,548901001,4.207,25769,0.16056,11.3,2076,NA,0.625,64000,2e+05,30495,17885,NA,1e+05,220000,21042,11761,"Yes",7.3,27226556,35000,16.5,NA,"RECEIVED WARM 25 ML FILTERED RECEIVED WARM 25 ML FILTERED Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53511",NA,25331.3203366899,2
"Kenosha",2021-02-24,548902003,22.61,69591,5.675,28,1671,NA,1,40000,130000,96173,11945,NA,66000,140000,43009,5178,"Yes",7.3,28560556,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,64314.1085377073,2
"Hudson",2021-02-24,548903003,1.487,21732,2.296,2.2,1248,6.5,1,40000,130000,30972,10835,NA,66000,140000,12492,3059,"Yes",7.75,29886753,19680,9.28,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,19669.8302992171,2
"Madison",2021-02-24,548904001,37.96,202320,6.025001584,56,1907,NA,1,40000,130000,216155,34916,NA,66000,140000,188486,31928,"No",7.74,35604971,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,201846.950261826,2
"Madison",2021-02-25,548904002,39.27,179708,4.947524693,56,1764,NA,1,40000,130000,204868,15666,NA,66000,140000,154547,11599,"No",7.58,32547713,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. WARM SAMPLE WARM SAMPLE","53713",NA,177937.446300659,2
"MMSD-P2",2021-02-25,548905001,6.31,184444,3.414051656,56,1297,NA,1,40000,130000,253231,17762,NA,66000,140000,115657,16701,"No",7,75906035,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. WARM SAMPLE WARM SAMPLE","53713",NA,171137.189900384,2
"MMSD-P7",2021-02-25,548906001,4.44,209610,9.116376517,56,1919,NA,1,40000,130000,239308,32867,NA,66000,140000,179911,11013,"No",7,41841815,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,207494.919426959,2
"MMSD-P8",2021-02-25,548907001,7.04,46584,9.764642051,56,1629,NA,1,40000,130000,69401,21429,NA,66000,140000,23768,9970,"Yes",7,22280689,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported. WARM SAMPLE WARM SAMPLE","53713",NA,40614.3197407023,2
"MMSD-P11",2021-02-25,548908001,8.88,58570,1.71,56,1797,NA,1,40000,130000,73322,23586,NA,66000,140000,43818,13660,"Yes",7,49707457,380000,NA,NA,"ARRIVED WARM ARRIVED WARM","53713",NA,56681.773049191,2
"MMSD-P18",2021-02-25,548909001,12.6,253824,8.14598,56,1745,NA,1,40000,130000,287481,40839,NA,66000,140000,220167,31605,"No",7,27887350,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,251582.649097667,2
"La Crosse",2021-02-25,549011001,10.67,148146,3.057434648,20,1696,NA,1,40000,130000,140776,46570,NA,66000,140000,155516,17286,"No",7.45,13145651,85000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54601",NA,147962.564238391,2
"Manitowoc",2021-02-25,549012001,6.248,82236,11.78734513,15.5,1282,NA,1,40000,130000,74818,17834,NA,66000,140000,89654,13961,"No",8,8760933,34450,10.6,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54220",NA,81900.7507413699,2
"Hudson",2021-02-25,549265001,1.529,43256,2.856,2.2,1681,5.05,1,40000,130000,40175,7229,NA,66000,140000,46337,7972,"Yes",7.75,8453750,19680,9.39,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,43146.1351108069,2
"Platteville",2021-02-25,549266001,1.029,15897,8.588,3,2152,4.79,1,40000,130000,22156,7262,NA,66000,140000,9637,3072,"Yes",7.9,14225378,14000,11.36,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,14612.2336417127,2
"Kenosha",2021-02-25,549267001,22.63,150866,10.405,28,2090,NA,1,40000,130000,157588,32613,NA,66000,140000,144144,32122,"No",7.5,13076131,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,150716.172562867,2
"Wausau",2021-02-25,549271001,3.9,87460,4.868,8.2,1228,NA,0.625,64000,2e+05,103610,15500,NA,1e+05,220000,71310,7925,"Yes",7,36114785,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,85955.9718693239,2
"River Falls",2021-02-25,549274001,1.341,455032,5.548,1.8,1009,5.36,1,40000,130000,511961,17861,NA,66000,140000,398103,11108,"No",7.61,11257383,16000,7.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,451456.764245481,2
"Merrill",2021-02-25,549281001,1.095,19063,0.51,3.06,1256,NA,0.625,64000,2e+05,28359,10054,NA,1e+05,220000,9766,4556,"Yes",7.42,23697880,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,16641.9348033815,2
"Oshkosh",2021-02-25,549299001,8.3,134681,10.7,20,1718,NA,0.625,64000,2e+05,149309,17170,NA,1e+05,220000,120054,14182,"No",8,39059529,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,133884.81125953,2
"Plymouth",2021-02-25,549330001,1.651,44766,3.029,1.8,1783,NA,1,40000,130000,58624,8481,NA,66000,140000,30907,4876,"Yes",8.1,7968654,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,42566.3243421369,2
"Sun Prairie",2021-02-25,549336001,3.357,34325,3.674,6.2,2249,NA,1,40000,130000,49071,6047,NA,66000,140000,19578,5508,"Yes",7.3,18208134,34926,11.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,30995.355103628,2
"Spring UW-Sellery",2021-02-26,549009001,NA,287947,5.511,NA,1494,NA,0.625,64000,2e+05,443104,45716,NA,1e+05,220000,132791,30335,"No",7.5,140312719,NA,NA,310,NA,NA,"SC2 Benchsheet analysis Feb rerun 2.26.21
",242570.037852988,2
"Spring UW-LakeShore",2021-02-26,549010001,NA,995747,14.034,NA,1303,NA,0.125,320000,1e+06,1482244,284324,NA,520000,1100000,509249,119476,"Yes",6.5,254209506,NA,NA,1910,NA,NA,"UW and MMSD Report for SARS-Cov-2 Influent Samples 03012021
Martin used 3 numbers to get the geomean. I cannot find where the 3 numbers came from. The PMMoV matches in this data set and am using the data entered.",868810.263956406,2
"Hudson",2021-02-26,549265002,1.518,40897,3.799,2.2,1169,7.31,1,40000,130000,42302,7832,NA,66000,140000,39492,3384,"Yes",7.76,7862623,19680,10.11,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,40872.8587696041,2
"Platteville",2021-02-26,549266002,0.999,19226,4.56,3,1893,4.67,1,40000,130000,22584,5752,NA,66000,140000,15869,3840,"Yes",7.9,9472953,14000,10.89,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,18931.0722358772,2
"Kenosha",2021-02-26,549267002,26.9,55533,8.878,28,2070,NA,1,40000,130000,65304,16278,NA,66000,140000,45762,5258,"Yes",7.6,11980899,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,54666.6410894249,2
"Wausau",2021-02-26,549271002,3.84,111785,3.189,8.2,1327,NA,0.625,64000,2e+05,133708,28790,NA,1e+05,220000,89863,20441,"Yes",7,27855680,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,109614.789166426,2
"River Falls",2021-02-26,549274002,1.338,518566,3.904,1.8,871,4.44,1,40000,130000,585131,15303,NA,66000,140000,452001,10783,"No",7.45,13232138,16000,7.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,514275.993150565,2
"Merrill",2021-02-26,549281002,1.054,29559,4.44,3.06,694,NA,0.625,64000,2e+05,43538,8896,NA,1e+05,220000,15579,7110,"Yes",7.54,9589993,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,26043.7804859433,2
"Oshkosh",2021-02-26,549299002,8.181,213898,4.83,20,1208,NA,0.625,64000,2e+05,237549,30192,NA,1e+05,220000,190247,19119,"No",7.86,25914544,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,212586.416788562,2
"Appleton",2021-02-26,549322001,9.7,61190,1.454856462,15.5,1585,NA,1,40000,130000,76882,9181,NA,66000,140000,45498,9078,"Yes",7.8,26715352.02,74832,12.3,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54914",NA,59143.6998842649,2
"WI Rapids",2021-02-26,549323001,2.461,53397,5.169330444,5.27,1425,NA,1,40000,130000,57680,9752,NA,66000,140000,49114,2378,"Yes",6.8,22683912,20000,NA,NA,"RECEIVED WARM RECEIVED WARM Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54494",NA,53224.9520431912,2
"Eau Claire",2021-02-26,549325001,7.65,83714,4.038578,12,1229,4.76,1,40000,130000,96157,15607,NA,66000,140000,71270,10887,"No",7.35,20838962,75000,13.5,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54703",NA,82783.5091669832,2
"Plymouth",2021-02-26,549330002,1.62,44426,2.544,1.8,1626,NA,1,40000,130000,62996,11539,NA,66000,140000,25856,6052,"Yes",8.4,6705277,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,40358.6988888393,2
"Sun Prairie",2021-02-26,549336002,3.371,34204,5.74,6.2,2029,NA,1,40000,130000,38123,8896,NA,66000,140000,30284,6269,"Yes",7.3,24380128,34926,11.1,NA,NA,"53590",NA,33978.1831768563,2
"Hudson",2021-02-27,549265003,1.531,41763,2.48,2.2,1517,6.3,1,40000,130000,55302,11084,NA,66000,140000,28223,4772,"Yes",7.8,8191503,19680,7.1,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54016",NA,39506.8139186141,2
"Platteville",2021-02-27,549266003,0.983,47767,4.872,3,2034,5.9,1,40000,130000,60092,4355,NA,66000,140000,35442,5738,"Yes",7.9,12274175,14000,9.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53818",NA,46149.546736669,2
"Kenosha",2021-02-27,549267003,26.81,109576,8.136,28,1775,NA,1,40000,130000,106952,12289,NA,66000,140000,112201,17370,"No",7.7,12114935,122000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53143",NA,109545.065393198,2
"Wausau",2021-02-27,549271003,3.77,75030,5.028,8.2,1296,NA,0.625,64000,2e+05,104755,9495,NA,1e+05,220000,45305,4964,"Yes",7,29238698,42000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54401",NA,68890.6762559347,2
"Menomonie",2021-02-27,549273001,1.529,37385,4.810396112,2.88,1320,NA,1,40000,130000,53106,10629,NA,66000,140000,21664,4368,"Yes",7.6,20649242.98,16000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54751",NA,33918.8499805049,2
"River Falls",2021-02-27,549274003,1.307,401520,5.244,1.8,804.6,4.3,1,40000,130000,453041,75144,NA,66000,140000,349998,51128,"No",7.3,11001855,16000,6.7,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54022",NA,398200.256049641,2
"Merrill",2021-02-27,549281003,1.086,99539,2.23,3.06,848.3,NA,0.625,64000,2e+05,119793,13890,NA,1e+05,220000,79286,10915,"Yes",7.47,10961660,10000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54452",NA,97457.2100872993,2
"Janesville",2021-02-27,549287001,11.3,168889,3.253025157,16.1,1664,NA,1,40000,130000,183192,8270,NA,66000,140000,154586,8127,"No",7.6,13011993,63500,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53548",NA,168282.258458817,2
"Stevens Point",2021-02-27,549288001,1.939,298537,4.693026536,4.55,749,NA,1,40000,130000,346122,22679,NA,66000,140000,250952,13984,"No",7.17,14904765.79,27000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54481",NA,294720.220113924,2
"Oshkosh",2021-02-27,549299003,8.296,128431,3.95,20,1445,NA,0.625,64000,2e+05,135692,13233,NA,1e+05,220000,121170,9470,"No",8.01,18361764,67000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54902",NA,128225.581067118,2
"Plymouth",2021-02-27,549330003,1.66,59070,1.251,1.8,1809,NA,1,40000,130000,82889,12662,NA,66000,140000,35251,6044,"Yes",8.3,14799535,9000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53073",NA,54054.7883077901,2
"Sheboygan",2021-02-27,549332001,11.08,52186,5.167791506,18.4,1191,NA,1,40000,130000,63156,12193,NA,66000,140000,41215,5874,"Yes",7.7,24777993.78,75000,13.73,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53081",NA,51019.3545627539,2
"Sun Prairie",2021-02-27,549336003,3.443,79362,3.813,6.2,1663,NA,1,40000,130000,94739,16508,NA,66000,140000,63984,12120,"Yes",7.3,15586736,34926,11.2,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53590",NA,77857.4349436199,2
"Madison",2021-02-28,549469001,38.37,181038,4.93,56,NA,NA,1,40000,130000,196433,27816,NA,66000,140000,165643,28415,"No",7.76,22435069,380000,NA,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","53713",NA,180382.236983024,2
"Peshtigo",2021-03-01,549269001,0.507,21214,6.68126337,4.2,625.7,6.7,1,40000,130000,24159,11016,NA,66000,140000,18269,5671,"Yes",7.7,5221128.732,4000,10.4,NA,"Sample was analyzed using a standard that was suboptimal and was reprocessed with a new standard to be re-reported.","54157",NA,21008.5880296606,2
